년,월,차종별계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2024,10,화물자동차,306353,184403,161067,201474,93120,85947,73599,17359,858798,166078,166589,236848,194678,257742,324580,299918,91145,3719698
2024,10,특수자동차,11565,12456,5294,9457,4105,3912,3756,903,31495,5517,6571,7982,5984,9424,10922,11209,2474,143026
2024,11,승용차,2774447,1324010,1069378,1501156,616312,629899,516998,179717,5567267,678357,749336,990478,773339,972725,1174328,1622805,603802,21744354
2024,11,승합차,85922,35520,26436,38601,16602,16609,12648,4106,175052,24543,26237,36603,28360,35454,42409,46066,16809,667977
2024,11,화물자동차,305468,184270,160990,201055,93143,85972,73554,17349,858664,165877,166603,236818,194629,257696,324487,299787,91445,3717807
2024,11,특수자동차,11590,12487,5308,9487,4152,3921,3770,895,31541,5505,6570,8054,6008,9437,10963,11246,2534,143468
2024,12,승용차,2774805,1327272,1070086,1498923,617066,630565,517478,179987,5580880,678904,750085,991539,773919,975280,1174646,1625378,604307,21771120
2024,12,승합차,85529,35466,26349,38445,16576,16561,12600,4057,174726,24439,26168,36521,28314,35342,42345,45917,16811,666166
2024,12,화물자동차,305000,184107,160835,201064,92972,85956,73615,17314,858280,165784,166638,236774,194609,257820,324449,299740,91786,3716743
2024,12,특수자동차,11599,12465,5334,9495,4137,3930,3788,899,31632,5528,6612,8120,6047,9484,10994,11285,2541,143890
2025,1,승용차,2775365,1334841,1070254,1499580,617539,632052,518390,180343,5588729,679950,751146,993693,775043,978060,1176368,1628515,599580,21799448
2025,1,승합차,85229,35424,26305,38258,16564,16519,12587,4036,174303,24392,26151,36463,28298,35204,42241,45853,16682,664509
2025,1,화물자동차,304195,183916,160627,201299,92900,85974,73628,17324,858909,165874,166677,236980,194778,258148,324794,299807,91753,3717583
2025,1,특수자동차,11649,12501,5364,9706,4137,3931,3811,890,31670,5559,6662,8172,6062,9521,11011,11332,2243,144221
2025,2,승용차,2773986,1335929,1069482,1499852,617181,632411,518443,180984,5592675,680432,752032,995393,775867,981120,1177892,1631714,599547,21814940
