id,year,month,region,age_group,gender,registration_count
216,2022,1,전남,40대,여성,51708
217,2022,1,전남,50대,여성,69273
218,2022,1,전남,60대,여성,50449
219,2022,1,전남,70대,여성,11302
220,2022,1,전남,80대,여성,3089
221,2022,1,전남,90대이상,여성,783
222,2022,1,전북,20대,남성,12934
223,2022,1,전북,30대,남성,62582
224,2022,1,전북,40대,남성,136887
225,2022,1,전북,50대,남성,185946
226,2022,1,전북,60대,남성,160804
227,2022,1,전북,70대,남성,60655
228,2022,1,전북,80대,남성,11739
229,2022,1,전북,90대이상,남성,1079
230,2022,1,전북,전체,법인및사업자,99127
231,2022,1,전북,20대,여성,7358
232,2022,1,전북,30대,여성,31191
233,2022,1,전북,40대,여성,53969
234,2022,1,전북,50대,여성,70718
235,2022,1,전북,60대,여성,50396
236,2022,1,전북,70대,여성,12100
237,2022,1,전북,80대,여성,3054
238,2022,1,전북,90대이상,여성,885
239,2022,1,제주,20대,남성,4453
240,2022,1,제주,30대,남성,25970
241,2022,1,제주,40대,남성,59014
242,2022,1,제주,50대,남성,70653
243,2022,1,제주,60대,남성,52794
244,2022,1,제주,70대,남성,18662
245,2022,1,제주,80대,남성,4168
246,2022,1,제주,90대이상,남성,301
247,2022,1,제주,전체,법인및사업자,319054
248,2022,1,제주,20대,여성,3165
249,2022,1,제주,30대,여성,15032
250,2022,1,제주,40대,여성,27552
251,2022,1,제주,50대,여성,33170
252,2022,1,제주,60대,여성,21593
253,2022,1,제주,70대,여성,5098
254,2022,1,제주,80대,여성,874
255,2022,1,제주,90대이상,여성,224
256,2022,1,충남,20대,남성,18028
257,2022,1,충남,30대,남성,104134
258,2022,1,충남,40대,남성,193931
259,2022,1,충남,50대,남성,224234
260,2022,1,충남,60대,남성,187385
261,2022,1,충남,70대,남성,65654
262,2022,1,충남,80대,남성,12525
263,2022,1,충남,90대이상,남성,985
264,2022,1,충남,전체,법인및사업자,103811
265,2022,1,충남,20대,여성,9252
266,2022,1,충남,30대,여성,40951
267,2022,1,충남,40대,여성,65314
268,2022,1,충남,50대,여성,80354
269,2022,1,충남,60대,여성,57062
270,2022,1,충남,70대,여성,12242
271,2022,1,충남,80대,여성,2650
272,2022,1,충남,90대이상,여성,615
273,2022,1,충북,20대,남성,14573
274,2022,1,충북,30대,남성,74011
275,2022,1,충북,40대,남성,130149
276,2022,1,충북,50대,남성,169507
277,2022,1,충북,60대,남성,147595
278,2022,1,충북,70대,남성,46989
279,2022,1,충북,80대,남성,9106
280,2022,1,충북,90대이상,남성,581
281,2022,1,충북,전체,법인및사업자,94499
282,2022,1,충북,20대,여성,7703
283,2022,1,충북,30대,여성,31174
284,2022,1,충북,40대,여성,49616
285,2022,1,충북,50대,여성,63770
286,2022,1,충북,60대,여성,43468
287,2022,1,충북,70대,여성,9028
288,2022,1,충북,80대,여성,1847
289,2022,1,충북,90대이상,여성,371
290,2022,2,강원,20대,남성,13047
291,2022,2,강원,30대,남성,61404
292,2022,2,강원,40대,남성,114890
293,2022,2,강원,50대,남성,159072
294,2022,2,강원,60대,남성,149439
295,2022,2,강원,70대,남성,51595
296,2022,2,강원,80대,남성,11795
297,2022,2,강원,90대이상,남성,731
298,2022,2,강원,전체,법인및사업자,63186
299,2022,2,강원,20대,여성,6543
300,2022,2,강원,30대,여성,27015
301,2022,2,강원,40대,여성,47529
302,2022,2,강원,50대,여성,63238
303,2022,2,강원,60대,여성,49222
304,2022,2,강원,70대,여성,10889
305,2022,2,강원,80대,여성,2046
306,2022,2,강원,90대이상,여성,552
307,2022,2,경기,20대,남성,86580
308,2022,2,경기,30대,남성,601529
309,2022,2,경기,40대,남성,1104313
310,2022,2,경기,50대,남성,1167697
311,2022,2,경기,60대,남성,841843
312,2022,2,경기,70대,남성,240616
313,2022,2,경기,80대,남성,46588
314,2022,2,경기,90대이상,남성,4030
315,2022,2,경기,전체,법인및사업자,637641
316,2022,2,경기,20대,여성,44476
317,2022,2,경기,30대,여성,238741
318,2022,2,경기,40대,여성,399913
319,2022,2,경기,50대,여성,458238
320,2022,2,경기,60대,여성,281574
321,2022,2,경기,70대,여성,61232
322,2022,2,경기,80대,여성,12259
323,2022,2,경기,90대이상,여성,2749
324,2022,2,경남,20대,남성,21780
325,2022,2,경남,30대,남성,132844
326,2022,2,경남,40대,남성,279181
327,2022,2,경남,50대,남성,345048
328,2022,2,경남,60대,남성,291825
329,2022,2,경남,70대,남성,91631
330,2022,2,경남,80대,남성,14313
331,2022,2,경남,90대이상,남성,1072
332,2022,2,경남,전체,법인및사업자,261936
333,2022,2,경남,20대,여성,11183
334,2022,2,경남,30대,여성,55562
335,2022,2,경남,40대,여성,101559
336,2022,2,경남,50대,여성,126475
337,2022,2,경남,60대,여성,84511
338,2022,2,경남,70대,여성,16772
339,2022,2,경남,80대,여성,3293
340,2022,2,경남,90대이상,여성,779
341,2022,2,경북,20대,남성,18935
342,2022,2,경북,30대,남성,105519
343,2022,2,경북,40대,남성,215301
344,2022,2,경북,50대,남성,301257
345,2022,2,경북,60대,남성,284735
346,2022,2,경북,70대,남성,104447
347,2022,2,경북,80대,남성,19035
348,2022,2,경북,90대이상,남성,1304
349,2022,2,경북,전체,법인및사업자,121370
350,2022,2,경북,20대,여성,10083
351,2022,2,경북,30대,여성,43140
352,2022,2,경북,40대,여성,76673
353,2022,2,경북,50대,여성,103236
354,2022,2,경북,60대,여성,78396
355,2022,2,경북,70대,여성,17436
356,2022,2,경북,80대,여성,3411
357,2022,2,경북,90대이상,여성,725
358,2022,2,광주,20대,남성,11375
359,2022,2,광주,30대,남성,60548
360,2022,2,광주,40대,남성,115949
361,2022,2,광주,50대,남성,131755
362,2022,2,광주,60대,남성,90353
363,2022,2,광주,70대,남성,28755
364,2022,2,광주,80대,남성,4924
365,2022,2,광주,90대이상,남성,409
366,2022,2,광주,전체,법인및사업자,75673
367,2022,2,광주,20대,여성,7488
368,2022,2,광주,30대,여성,31007
369,2022,2,광주,40대,여성,49536
370,2022,2,광주,50대,여성,55526
371,2022,2,광주,60대,여성,31311
372,2022,2,광주,70대,여성,6703
373,2022,2,광주,80대,여성,1295
374,2022,2,광주,90대이상,여성,368
375,2022,2,대구,20대,남성,14771
376,2022,2,대구,30대,남성,96166
377,2022,2,대구,40대,남성,185529
378,2022,2,대구,50대,남성,227627
379,2022,2,대구,60대,남성,180071
380,2022,2,대구,70대,남성,60007
381,2022,2,대구,80대,남성,10707
382,2022,2,대구,90대이상,남성,864
383,2022,2,대구,전체,법인및사업자,156871
384,2022,2,대구,20대,여성,7924
